                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.9603,                  1.853,                 1.7848,                   0.28,                0.06306,                0.15823,                0.05628,                 2.8728,                 3.3926,                 2.5017,               0.001932,               0.001932,               0.001932
                     71,                 1.8045,                  1.758,                  1.687,                0.33548,                0.07207,                0.14569,                0.05471,                 2.8828,                 3.3958,                 2.5035,               0.001931,               0.001931,               0.001931
                     72,                 2.0026,                 1.8566,                 1.7873,                 0.2037,                 0.0991,                0.16112,                0.06248,                 2.8085,                 3.3323,                 2.3377,                0.00193,                0.00193,                0.00193
                     73,                 1.8078,                 1.7376,                 1.6645,                    0.2,                0.09009,                 0.1394,                0.04408,                   2.87,                 3.3455,                 2.3443,               0.001929,               0.001929,               0.001929
                     74,                 1.9663,                 2.0734,                 1.9196,                    0.2,                0.09009,                 0.1394,                0.04408,                   2.87,                 3.3455,                 2.3443,               0.001928,               0.001928,               0.001928
                     75,                 1.9049,                  1.808,                 1.7229,                0.24242,                0.07207,                0.16803,                0.04892,                 2.8537,                  3.116,                 2.3926,               0.001927,               0.001927,               0.001927
                     76,                 1.9414,                 1.8876,                 1.8323,                0.49792,                0.06306,                0.15356,                0.05425,                 2.8072,                 3.3692,                 2.4433,               0.001926,               0.001926,               0.001926
                     77,                 1.7845,                 1.7996,                 1.7112,                0.20441,                0.07207,                 0.1213,                0.04517,                 2.8133,                 3.8485,                 2.5819,               0.001925,               0.001925,               0.001925
                     78,                 1.8644,                 1.6602,                 1.7238,                0.20441,                0.07207,                 0.1213,                0.04517,                 2.8133,                 3.8485,                 2.5819,               0.001924,               0.001924,               0.001924
                     79,                 1.7854,                 1.6293,                 1.6775,                0.22263,                0.11712,                0.14248,                 0.0479,                 2.8288,                  4.167,                 2.7416,               0.001923,               0.001923,               0.001923
                     80,                 1.8412,                 1.6062,                 1.7497,                0.27863,                0.14414,                0.16985,                0.05452,                 2.8975,                 4.1767,                 2.9192,               0.001922,               0.001922,               0.001922
                     81,                 1.8693,                 1.6187,                 1.7349,                 0.2727,                0.14414,                0.17034,                0.04906,                 2.8611,                 3.9928,                 2.7549,               0.001921,               0.001921,               0.001921
                     82,                 1.9138,                 1.6516,                  1.741,                 0.2727,                0.14414,                0.17034,                0.04906,                 2.8611,                 3.9928,                 2.7549,                0.00192,                0.00192,                0.00192
                     83,                 1.7662,                 1.6178,                 1.6757,                0.39045,                0.13514,                0.20499,                0.05759,                 2.8466,                 3.4044,                 2.5627,               0.001919,               0.001919,               0.001919
                     84,                 1.7566,                 1.6027,                 1.6425,                0.37115,                0.13514,                0.19735,                0.05319,                 2.8051,                 3.3101,                 2.4742,               0.001918,               0.001918,               0.001918
                     85,                 1.8406,                 1.6852,                 1.6787,                0.23684,                0.16216,                0.15853,                0.04329,                 2.8429,                 3.7133,                 2.5449,               0.001917,               0.001917,               0.001917
                     86,                 1.8827,                 1.7184,                 1.7001,                0.23684,                0.16216,                0.15853,                0.04329,                 2.8429,                 3.7133,                 2.5449,               0.001916,               0.001916,               0.001916
                     87,                 1.8238,                 1.6835,                 1.6964,                0.20418,                0.15315,                0.12037,                0.03481,                 2.9505,                 4.3719,                 2.7074,               0.001915,               0.001915,               0.001915
                     88,                 1.8745,                  1.776,                 1.8506,                0.23762,                0.21622,                0.17664,                 0.0473,                 2.9305,                  4.492,                 2.8452,               0.001914,               0.001914,               0.001914
                     89,                 1.8762,                 1.6637,                 1.7305,                 0.2549,                0.23423,                0.18681,                0.04869,                 2.8594,                 4.1324,                 2.7188,               0.001913,               0.001913,               0.001913
                     90,                 1.8208,                 1.5578,                  1.619,                 0.2549,                0.23423,                0.18681,                0.04869,                 2.8594,                 4.1324,                 2.7188,               0.001912,               0.001912,               0.001912
                     91,                 1.8714,                 1.6006,                 1.7008,                0.37014,                0.18919,                0.23524,                0.05514,                 2.8896,                  3.362,                 2.7378,               0.001911,               0.001911,               0.001911
                     92,                 1.9119,                 1.7035,                 1.7123,                0.45455,                0.18018,                0.29394,                0.07766,                 2.9397,                 3.0704,                  2.805,                0.00191,                0.00191,                0.00191
                     93,                 1.9614,                 1.7194,                 1.8744,                0.51852,                0.12613,                0.30363,                0.09389,                 2.9031,                 3.0353,                 2.7601,               0.001909,               0.001909,               0.001909
                     94,                 1.8583,                 1.5634,                 1.6379,                0.51852,                0.12613,                0.30363,                0.09389,                 2.9031,                 3.0353,                 2.7601,               0.001908,               0.001908,               0.001908
